Category,Variable,Fire,Months_Before_Fire,Mean_Value
SM1,SM1,PALISADES,-1,-2.0984758287
SM1,SM1,PALISADES,-2,-1.620593019466667
SM1,SM1,PALISADES,-3,-1.0221383229333334
SM1,SM1,PALISADES,-4,-0.490301591
SM1,SM1,PALISADES,-5,-0.2690968051666667
SM1,SM1,PALISADES,-6,-0.0314198161333333
SM1,SM1,PALISADES,-7,0.0540500381666666
SM1,SM1,PALISADES,-8,0.1527374269333333
SM1,SM1,PALISADES,-9,0.8756252013
SM1,SM1,PALISADES,-10,1.3801121101333331
SM1,SM1,PALISADES,-11,2.0746491347666667
SM1,SM1,PALISADES,-12,1.7578724271333332
SM1,SM1,PALISADES,-13,1.2459282834666667
SM1,SM1,PALISADES,-14,0.4769117115333335
SM1,SM1,PALISADES,-15,-0.0741149713999998
SM1,SM1,PALISADES,-16,0.2256526121000001
SM1,SM1,PALISADES,-17,0.6696862037666668
SM1,SM1,PALISADES,-18,0.8269974014333336
SM1,SM1,PALISADES,-19,0.6804113646666669
SM1,SM1,PALISADES,-20,0.4784429304333334
SM1,SM1,PALISADES,-21,0.8425349645666668
SM1,SM1,PALISADES,-22,1.5068453306000005
SM1,SM1,PALISADES,-23,1.3623406909
SM1,SM1,PALISADES,-24,1.8185312325333332
SM1,SM1,PALISADES,-25,1.3511117524000005
SM1,SM1,PALISADES,-26,1.4795220221333334
SM1,SM1,PALISADES,-27,0.4300869053666669
SM1,SM1,PALISADES,-28,0.2157162609666668
SM1,SM1,PALISADES,-29,-0.0390228813666665
SM1,SM1,PALISADES,-30,0.1610696440333335
SM1,SM1,EATON,0,-2.600837699
SM1,SM1,EATON,-1,-2.2644077969
SM1,SM1,EATON,-2,-1.6775584201666665
SM1,SM1,EATON,-3,-1.0149343802666666
SM1,SM1,EATON,-4,-0.3906927895333333
SM1,SM1,EATON,-5,-0.2335688058999999
SM1,SM1,EATON,-6,-0.0409497255333333
SM1,SM1,EATON,-7,-0.0163305451666666
SM1,SM1,EATON,-8,0.0600342581333333
SM1,SM1,EATON,-9,0.7544925253
SM1,SM1,EATON,-10,1.4650012711333336
SM1,SM1,EATON,-11,2.1807112522666667
SM1,SM1,EATON,-12,1.7776688630333333
SM1,SM1,EATON,-13,0.9433173712333334
SM1,SM1,EATON,-14,0.2502661048666666
SM1,SM1,EATON,-15,-0.0517189499333333
SM1,SM1,EATON,-16,0.5292123545666666
SM1,SM1,EATON,-17,0.8803090733666666
SM1,SM1,EATON,-18,0.8908048994666666
SM1,SM1,EATON,-19,0.5594862113
SM1,SM1,EATON,-20,0.2907823941666667
SM1,SM1,EATON,-21,0.6256485915666666
SM1,SM1,EATON,-22,1.3385845805333334
SM1,SM1,EATON,-23,1.3930841908333331
SM1,SM1,EATON,-24,1.9322322385
SM1,SM1,EATON,-25,1.4453699420333332
SM1,SM1,EATON,-26,1.6965896067
SM1,SM1,EATON,-27,0.7143696627666668
SM1,SM1,EATON,-28,0.6234280641333333
SM1,SM1,EATON,-29,0.1474150110333333
SM1,SM1,EATON,-30,0.2508195696333333
LFMC,LFMC,PALISADES,0,-1.5174917052
LFMC,LFMC,PALISADES,-1,-0.98515800185
LFMC,LFMC,PALISADES,-2,-0.5349382329333333
LFMC,LFMC,PALISADES,-3,0.1299778502666666
LFMC,LFMC,PALISADES,-4,0.5649494478666667
LFMC,LFMC,PALISADES,-5,0.7892421953
LFMC,LFMC,PALISADES,-6,1.0443344902333334
LFMC,LFMC,PALISADES,-7,1.3158362310333334
LFMC,LFMC,PALISADES,-8,1.5793940050666668
LFMC,LFMC,PALISADES,-9,1.9234708561
LFMC,LFMC,PALISADES,-10,1.9155268893333333
LFMC,LFMC,PALISADES,-11,2.017282433233333
LFMC,LFMC,PALISADES,-12,1.5940084783333333
LFMC,LFMC,PALISADES,-13,1.2816468534333332
LFMC,LFMC,PALISADES,-14,0.8419452603666667
LFMC,LFMC,PALISADES,-15,0.7980230074333333
LFMC,LFMC,PALISADES,-16,1.1865982006
LFMC,LFMC,PALISADES,-17,1.542542489
LFMC,LFMC,PALISADES,-18,1.6874925942
LFMC,LFMC,PALISADES,-19,1.6830172907999998
LFMC,LFMC,PALISADES,-20,1.7004940177
LFMC,LFMC,PALISADES,-21,1.9247443164666669
LFMC,LFMC,PALISADES,-22,1.9622810755
LFMC,LFMC,PALISADES,-23,1.7272366845
LFMC,LFMC,PALISADES,-24,1.7106210593333333
LFMC,LFMC,PALISADES,-25,1.4207572334666665
LFMC,LFMC,PALISADES,-26,1.3690365520666663
LFMC,LFMC,PALISADES,-27,0.7528939992
LFMC,LFMC,PALISADES,-28,0.5900184239333334
LFMC,LFMC,PALISADES,-29,0.3674600081999999
LFMC,LFMC,PALISADES,-30,0.4822230396666667
LFMC,LFMC,EATON,0,-1.3444049395
LFMC,LFMC,EATON,-1,-0.94436856765
LFMC,LFMC,EATON,-2,-0.4961633522333333
LFMC,LFMC,EATON,-3,0.1363911277999999
LFMC,LFMC,EATON,-4,0.6447563172666667
LFMC,LFMC,EATON,-5,0.8692547983000001
LFMC,LFMC,EATON,-6,1.1031840033666669
LFMC,LFMC,EATON,-7,1.2728284897666666
LFMC,LFMC,EATON,-8,1.444107549866667
LFMC,LFMC,EATON,-9,1.6907621665333334
LFMC,LFMC,EATON,-10,1.7782373995
LFMC,LFMC,EATON,-11,2.0021612257
LFMC,LFMC,EATON,-12,1.6263369767333336
LFMC,LFMC,EATON,-13,1.2099676380666666
LFMC,LFMC,EATON,-14,0.7869897690333333
LFMC,LFMC,EATON,-15,0.8887228264333333
LFMC,LFMC,EATON,-16,1.4767926387333332
LFMC,LFMC,EATON,-17,1.7911288225
LFMC,LFMC,EATON,-18,1.8352942375666668
LFMC,LFMC,EATON,-19,1.6292421761
LFMC,LFMC,EATON,-20,1.5182380210000002
LFMC,LFMC,EATON,-21,1.6279970906333334
LFMC,LFMC,EATON,-22,1.7216658254666666
LFMC,LFMC,EATON,-23,1.7171962880333334
LFMC,LFMC,EATON,-24,1.8962331881333332
LFMC,LFMC,EATON,-25,1.6489400661
LFMC,LFMC,EATON,-26,1.627198958933333
LFMC,LFMC,EATON,-27,1.0175923612
LFMC,LFMC,EATON,-28,0.9392541398333334
LFMC,LFMC,EATON,-29,0.6096576782
LFMC,LFMC,EATON,-30,0.6802380595666667
VPD,VPD,PALISADES,0,2.0933891225
VPD,VPD,PALISADES,-1,1.21680591775
VPD,VPD,PALISADES,-2,0.7411792879666668
VPD,VPD,PALISADES,-3,-0.241915456
VPD,VPD,PALISADES,-4,-0.4174870949
VPD,VPD,PALISADES,-5,-0.351043496
VPD,VPD,PALISADES,-6,-0.0885286396
VPD,VPD,PALISADES,-7,-0.2151351267666666
VPD,VPD,PALISADES,-8,-0.6030890231333333
VPD,VPD,PALISADES,-9,-1.0692153158333333
VPD,VPD,PALISADES,-10,-1.334444237466667
VPD,VPD,PALISADES,-11,-1.7031723963333334
VPD,VPD,PALISADES,-12,-1.7042966047333337
VPD,VPD,PALISADES,-13,-1.2204956273
VPD,VPD,PALISADES,-14,-0.2478968211333333
VPD,VPD,PALISADES,-15,0.2607187838333333
VPD,VPD,PALISADES,-16,-0.3068878275
VPD,VPD,PALISADES,-17,-0.8253363755666667
VPD,VPD,PALISADES,-18,-0.7508658843666666
VPD,VPD,PALISADES,-19,-0.5941751813666666
VPD,VPD,PALISADES,-20,-0.7655271584
VPD,VPD,PALISADES,-21,-1.2494866780333334
VPD,VPD,PALISADES,-22,-1.335478642266667
VPD,VPD,PALISADES,-23,-0.9625563213
VPD,VPD,PALISADES,-24,-1.1290666631333333
VPD,VPD,PALISADES,-25,-1.1464608500666666
VPD,VPD,PALISADES,-26,-1.1689738438666666
VPD,VPD,PALISADES,-27,-0.9632126638666666
VPD,VPD,PALISADES,-28,-0.4538996948999999
VPD,VPD,PALISADES,-29,-0.1240210295666666
VPD,VPD,PALISADES,-30,0.2558959963333334
VPD,VPD,EATON,0,2.2640767152
VPD,VPD,EATON,-1,1.8438193177
VPD,VPD,EATON,-2,1.3124492357333333
VPD,VPD,EATON,-3,0.6793937207999999
VPD,VPD,EATON,-4,0.3247515300333333
VPD,VPD,EATON,-5,0.3921975611
VPD,VPD,EATON,-6,0.5071596710333334
VPD,VPD,EATON,-7,0.2174541297999999
VPD,VPD,EATON,-8,-0.2228006488999999
VPD,VPD,EATON,-9,-0.940035673
VPD,VPD,EATON,-10,-1.2563346841
VPD,VPD,EATON,-11,-1.6624183434333333
VPD,VPD,EATON,-12,-1.5864515109333333
VPD,VPD,EATON,-13,-1.027246071266667
VPD,VPD,EATON,-14,-0.1751462979999999
VPD,VPD,EATON,-15,0.2112233524666666
VPD,VPD,EATON,-16,-0.5563546456333333
VPD,VPD,EATON,-17,-1.0320872999
VPD,VPD,EATON,-18,-0.7580440552
VPD,VPD,EATON,-19,-0.6233918353
VPD,VPD,EATON,-20,-0.7275004432
VPD,VPD,EATON,-21,-1.2629367475333333
VPD,VPD,EATON,-22,-1.2111530129666666
VPD,VPD,EATON,-23,-0.9513432535999998
VPD,VPD,EATON,-24,-1.2658865511333337
VPD,VPD,EATON,-25,-1.1904856097666667
VPD,VPD,EATON,-26,-1.3067877636
VPD,VPD,EATON,-27,-0.9883276116333334
VPD,VPD,EATON,-28,-0.6761076258666666
VPD,VPD,EATON,-29,-0.2324933485666666
VPD,VPD,EATON,-30,0.0856177091666666
DFMC,Wood,PALISADES,0,-0.7624958855
