Variable,Region,Lag (months),Mean_Value
LFMC_LFMC,ALL,-30,0.0079268024703703
VPD_VPD,ALL,0,1.0333217504777776
VPD_VPD,ALL,-1,0.7560117943666665
VPD_VPD,ALL,-2,0.6337769149388889
VPD_VPD,ALL,-3,0.4157573318796296
VPD_VPD,ALL,-4,0.3201218384425927
VPD_VPD,ALL,-5,0.2559404707574074
VPD_VPD,ALL,-6,0.2057696085314814
VPD_VPD,ALL,-7,0.1499384061759259
VPD_VPD,ALL,-8,-0.0047765398148148
VPD_VPD,ALL,-9,0.1889845857351852
VPD_VPD,ALL,-10,0.316002072975926
VPD_VPD,ALL,-11,0.3464292144666666
VPD_VPD,ALL,-12,0.0505316943574073
VPD_VPD,ALL,-13,-0.1528625199203704
VPD_VPD,ALL,-14,-0.1276724634851852
VPD_VPD,ALL,-15,-0.2622230099055555
VPD_VPD,ALL,-16,-0.3567347582166667
VPD_VPD,ALL,-17,-0.4354788471388888
VPD_VPD,ALL,-18,-0.3227781932092592
VPD_VPD,ALL,-19,-0.2950129670018518
VPD_VPD,ALL,-20,-0.2241119087314814
VPD_VPD,ALL,-21,-0.0949633807759259
VPD_VPD,ALL,-22,-0.0794800742166666
VPD_VPD,ALL,-23,-0.02706336385
VPD_VPD,ALL,-24,-0.154048312087037
VPD_VPD,ALL,-25,-0.0448998496537037
VPD_VPD,ALL,-26,-0.1168940478740741
VPD_VPD,ALL,-27,-0.1894961131518518
VPD_VPD,ALL,-28,-0.2412588457222222
VPD_VPD,ALL,-29,-0.220465205824074
VPD_VPD,ALL,-30,-0.1007440580907407
DFMC_Wood,DES,0,0.0461843341
DFMC_Wood,DES,-1,-0.02605193765
DFMC_Wood,DES,-2,-0.0418378002666666
DFMC_Wood,DES,-3,-0.1036699918333333
DFMC_Wood,DES,-4,0.1807934925
DFMC_Wood,DES,-5,0.4235156543666666
DFMC_Wood,DES,-6,0.483689267
DFMC_Wood,DES,-7,0.2399192725333333
DFMC_Wood,DES,-8,0.0463820436666666
DFMC_Wood,DES,-9,-0.0064765955
DFMC_Wood,DES,-10,0.0480202084666666
DFMC_Wood,DES,-11,0.0101395073666666
DFMC_Wood,DES,-12,0.0308787630666666
DFMC_Wood,DES,-13,-0.0365991965
DFMC_Wood,DES,-14,0.0017792740333333
DFMC_Wood,DES,-15,0.0455800196666666
DFMC_Wood,DES,-16,0.3888311923333333
DFMC_Wood,DES,-17,1.0185486721333332
DFMC_Wood,DES,-18,1.1121651197
DFMC_Wood,DES,-19,0.7876725837666667
DFMC_Wood,DES,-20,0.2143876157666666
DFMC_Wood,DES,-21,0.6919051011333334
DFMC_Wood,DES,-22,1.686375155833333
DFMC_Wood,DES,-23,1.5988141013666668
DFMC_Wood,DES,-24,0.9826430530333332
DFMC_Wood,DES,-25,0.0012497927666666
DFMC_Wood,DES,-26,0.0103556735333333
DFMC_Wood,DES,-27,-0.0066041139666666
DFMC_Wood,DES,-28,0.4003106502666667
DFMC_Wood,DES,-29,0.5094765199666667
DFMC_Wood,DES,-30,0.3788556692333333
DFMC_Wood,MED,0,-0.26779779825
DFMC_Wood,MED,-1,-0.33191997288125
DFMC_Wood,MED,-2,-0.2464253511666666
DFMC_Wood,MED,-3,-0.1887751665583333
DFMC_Wood,MED,-4,-0.061665138225
DFMC_Wood,MED,-5,0.0220285324041666
DFMC_Wood,MED,-6,0.0705148708916666
DFMC_Wood,MED,-7,0.0666498915083333
DFMC_Wood,MED,-8,0.0136404870541666
DFMC_Wood,MED,-9,0.1852933725416666
DFMC_Wood,MED,-10,0.2938462284333333
DFMC_Wood,MED,-11,0.3755239490374999
DFMC_Wood,MED,-12,0.1935501176583333
DFMC_Wood,MED,-13,0.115044134075
DFMC_Wood,MED,-14,0.2304159139291666
DFMC_Wood,MED,-15,0.4228390817208334
DFMC_Wood,MED,-16,0.6760127650541667
DFMC_Wood,MED,-17,0.589816963575
DFMC_Wood,MED,-18,0.4227822342374999
DFMC_Wood,MED,-19,0.1770223399916666
DFMC_Wood,MED,-20,0.1257955768291666
DFMC_Wood,MED,-21,0.1716351650416666
DFMC_Wood,MED,-22,0.2437676106166666
DFMC_Wood,MED,-23,0.1505195155416666
DFMC_Wood,MED,-24,0.0222207977083333
DFMC_Wood,MED,-25,-0.0639824716291666
DFMC_Wood,MED,-26,-0.0001033920833333
DFMC_Wood,MED,-27,-0.00821121385
DFMC_Wood,MED,-28,0.1623274819749999
DFMC_Wood,MED,-29,0.1721213974291666
DFMC_Wood,MED,-30,0.2421273387749999
SPEI3_SPEI3,ALL,0,-0.597
SPEI3_SPEI3,ALL,-1,-0.8915833333333332
SPEI3_SPEI3,ALL,-2,-0.9749629629629633
SPEI3_SPEI3,ALL,-3,-1.054925925925926
SPEI3_SPEI3,ALL,-4,-0.9101296296296296
SPEI3_SPEI3,ALL,-5,-0.7296296296296296
